Timestamp,Voltage,Temperature,SoC,Health
0.0,4.05,42,85.0,86
0.0,3.37,28,17.0,100
0.0,3.99,44,79.0,82
0.0,3.5,20,30.0,100
0.0,3.53,38,33.0,94
0.0,3.76,41,56.0,88
0.0,3.82,38,62.0,94
0.0,4.14,54,94.0,62
0.0,3.34,42,14.0,86
0.0,3.49,54,29.0,62
0.0,3.68,25,48.0,100
0.0,3.58,33,38.0,100
0.0,3.3,38,10.0,94
0.0,3.44,48,24.0,74
0.0,3.79,36,59.0,98
0.0,3.73,35,53.0,100
0.0,3.79,42,59.0,86
0.0,3.77,49,57.0,72
0.0,3.64,44,44.0,82
0.0,3.89,33,69.0,100
0.0,3.63,38,43.0,94
0.0,3.58,44,38.0,82
0.0,3.39,21,19.0,100
0.0,3.57,55,37.0,60
0.0,3.94,25,74.0,100
0.0,3.56,37,36.0,96
0.0,3.55,25,35.0,100
0.0,3.93,44,73.0,82
0.0,3.5,21,30.0,100
0.0,4.16,42,96.0,86
0.0,3.82,36,62.0,98
0.0,3.4,53,20.0,64
0.0,3.47,20,27.0,100
0.0,3.95,20,75.0,100
0.0,4.19,42,99.0,86
0.0,3.98,44,78.0,82
0.0,3.76,45,56.0,80
0.0,3.61,32,41.0,100
0.0,3.44,20,24.0,100
0.0,3.84,26,64.0,100
0.0,4.03,48,83.0,74
0.0,3.69,32,49.0,100
0.0,3.53,46,33.0,78
0.0,3.7,23,50.0,100
0.0,3.87,23,67.0,100
0.0,3.42,52,22.0,66
0.0,4.15,44,95.0,82
0.0,3.52,36,32.0,98
0.0,3.72,55,52.0,60
0.0,3.57,34,37.0,100
0.0,3.76,21,56.0,100
0.0,3.34,32,14.0,100
0.0,4.04,25,84.0,100
0.0,3.92,47,72.0,76
0.0,3.86,28,66.0,100
0.0,3.31,20,11.0,100
0.0,4.12,39,92.0,92
0.0,3.6,30,40.0,100
0.0,3.52,46,32.0,78
0.0,3.51,45,31.0,80
0.0,3.72,37,52.0,96
0.0,4.16,49,96.0,72
0.0,3.58,41,38.0,88
0.0,3.67,45,47.0,80
0.0,4.2,54,100.0,62
0.0,4.01,55,81.0,60
0.0,3.88,43,68.0,84
0.0,3.35,46,15.0,78
0.0,3.89,43,69.0,84
0.0,4.06,22,86.0,100
0.0,3.42,23,22.0,100
0.0,3.34,30,14.0,100
0.0,3.93,33,73.0,100
0.0,3.71,51,51.0,68
0.0,3.63,55,43.0,60
0.0,3.36,32,16.0,100
0.0,3.77,31,57.0,100
0.0,3.96,49,76.0,72
0.0,3.51,27,31.0,100
0.0,4.12,54,92.0,62
0.0,3.5,39,30.0,92
0.0,3.39,26,19.0,100
0.0,3.96,26,76.0,100
0.0,4.13,27,93.0,100
0.0,3.91,39,71.0,92
0.0,3.36,50,16.0,70
0.0,3.43,30,23.0,100
0.0,3.91,29,71.0,100
0.0,3.63,31,43.0,100
0.0,3.53,36,33.0,98
0.0,4.2,25,100.0,100
0.0,3.63,44,43.0,82
0.0,3.67,33,47.0,100
0.0,4.04,24,84.0,100
0.0,3.75,49,55.0,72
0.0,3.75,36,55.0,98
0.0,4.08,25,88.0,100
0.0,3.81,30,61.0,100
0.0,4.06,40,86.0,90
0.0,3.61,41,41.0,88
0.0,3.76,48,56.0,74
0.0,4.17,42,97.0,86
0.0,3.53,54,33.0,62
0.0,3.52,55,32.0,60
0.0,3.81,40,61.0,90
0.0,3.31,36,11.0,98
0.0,3.56,25,36.0,100
0.0,4.17,36,97.0,98
0.0,3.57,43,37.0,84
0.0,3.92,49,72.0,72
0.0,4.07,22,87.0,100
0.0,3.91,20,71.0,100
0.0,3.32,30,12.0,100
0.0,3.89,46,69.0,78
0.0,3.86,26,66.0,100
0.0,3.62,30,42.0,100
0.0,4.1,42,90.0,86
0.0,3.9,23,70.0,100
0.0,3.35,30,15.0,100
0.0,4.15,27,95.0,100
0.0,3.92,47,72.0,76
0.0,3.4,26,20.0,100
0.0,3.91,46,71.0,78
0.0,3.78,36,58.0,98
0.0,4.07,30,87.0,100
0.0,4.2,41,100.0,88
0.0,3.67,44,47.0,82
0.0,3.7,32,50.0,100
0.0,3.58,43,38.0,84
0.0,3.4,38,20.0,94
0.0,4.07,43,87.0,84
0.0,3.48,33,28.0,100
0.0,3.41,47,21.0,76
0.0,3.91,32,71.0,100
0.0,3.5,34,30.0,100
0.0,3.41,39,21.0,92
0.0,3.83,25,63.0,100
0.0,4.06,55,86.0,60
0.0,3.58,50,38.0,70
0.0,4.09,38,89.0,94
0.0,3.61,31,41.0,100
0.0,3.66,27,46.0,100
0.0,3.69,38,49.0,94
0.0,3.96,55,76.0,60
0.0,3.55,44,35.0,82
0.0,4.14,20,94.0,100
0.0,4.2,37,100.0,96
0.0,3.86,46,66.0,78
0.0,3.41,50,21.0,70
0.0,3.65,31,45.0,100
0.0,4.07,21,87.0,100
0.0,3.47,43,27.0,84
0.0,3.6,32,40.0,100
0.0,3.68,53,48.0,64
0.0,3.94,50,74.0,70
0.0,3.91,29,71.0,100
0.0,3.86,46,66.0,78
0.0,3.84,22,64.0,100
0.0,3.91,39,71.0,92
0.0,3.46,43,26.0,84
0.0,4.17,50,97.0,70
0.0,3.55,55,35.0,60
0.0,4.1,53,90.0,64
0.0,4.12,45,92.0,80
0.0,3.85,45,65.0,80
0.0,4.07,23,87.0,100
0.0,3.95,34,75.0,100
0.0,3.6,30,40.0,100
0.0,4.12,34,92.0,100
0.0,4.13,53,93.0,64
0.0,3.8,33,60.0,100
0.0,3.54,24,34.0,100
0.0,3.96,35,76.0,100
0.0,3.49,22,29.0,100
0.0,3.95,31,75.0,100
0.0,3.41,26,21.0,100
0.0,4.07,27,87.0,100
0.0,3.66,24,46.0,100
0.0,3.99,24,79.0,100
0.0,3.35,48,15.0,74
0.0,3.85,48,65.0,74
0.0,3.59,32,39.0,100
0.0,3.48,54,28.0,62
0.0,3.58,25,38.0,100
0.0,3.36,36,16.0,98
0.0,3.81,25,61.0,100
0.0,3.33,21,13.0,100
0.0,3.32,35,12.0,100
0.0,3.83,40,63.0,90
0.0,3.55,50,35.0,70
0.0,3.32,25,12.0,100
0.0,3.87,53,67.0,64
0.0,3.5,29,30.0,100
0.0,3.36,30,16.0,100
0.0,3.46,50,26.0,70
0.0,3.32,28,12.0,100
0.0,3.54,55,34.0,60
0.0,3.64,52,44.0,66
0.0,4.0,51,80.0,68
0.0,3.53,52,33.0,66
0.0,3.81,54,61.0,62
0.0,3.91,21,71.0,100
0.0,4.0,40,80.0,90
0.0,4.1,47,90.0,76
0.0,4.0,36,80.0,98
0.0,3.45,49,25.0,72
0.0,3.3,44,10.0,82
0.0,3.7,44,50.0,82
0.0,3.32,46,12.0,78
0.0,3.97,32,77.0,100
0.0,3.73,43,53.0,84
0.0,4.13,48,93.0,74
0.0,3.44,22,24.0,100
0.0,4.17,25,97.0,100
0.0,3.68,30,48.0,100
0.0,3.68,21,48.0,100
0.0,3.57,34,37.0,100
0.0,3.83,23,63.0,100
0.0,4.11,24,91.0,100
0.0,4.14,33,94.0,100
0.0,4.08,41,88.0,88
0.0,4.16,53,96.0,64
0.0,4.11,39,91.0,92
0.0,3.82,48,62.0,74
0.0,4.05,30,85.0,100
0.0,4.05,20,85.0,100
0.0,3.53,34,33.0,100
0.0,3.73,30,53.0,100
0.0,3.98,30,78.0,100
